"zona","state","municipio","head","hotel"
"5","Cancun","Cancun","Puerto Morelos","Desire Riviera Maya Resort Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Dreams Riviera Cancun Resort & Spa Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","El Cid Marina Riviera Maya"
"5","Cancun","Cancun","Puerto Morelos",
"5","Cancun","Cancun","Puerto Morelos","Excellence Riviera Cancun Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Grand Residences Riviera Cancun"
"5","Cancun","Cancun","Puerto Morelos","Haven Riviera Cancún"
"5","Cancun","Cancun","Puerto Morelos","Hideaway At Royalton Riviera Cancun Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hostel Humanity Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Amar Inn Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Balanca Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Caracol Puerto - Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Dos Naciones Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Eden Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Gota de Sal"
"5","Cancun","Cancun","Puerto Morelos","Hotel Hacienda Morelos Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Marina El Cid Spa & Beach Resort Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Hotel Ojo De Agua Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Isla Blanca"
"5","Cancun","Cancun","Puerto Morelos","La Casa de Serenidad Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Marina Hacienda del Mar"
"5","Cancun","Cancun","Puerto Morelos","Mayan Riviera Properties"
"5","Cancun","Cancun","Puerto Morelos","Moonlight Condos Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Now Jade Riviera Cancun Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Now Natura Riviera Cancun Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Now Sapphire Riviera Cancun Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Ocean Coral & Turquesa Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Ocean Homes Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Paradisus Riviera Cancun Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Paraíso De La Bonita Resort & Thalasso"
"5","Cancun","Cancun","Puerto Morelos","Posada Amor Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Posada El Moro Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Private Destination Puerto Morelos"
"5","Cancun","Cancun","Puerto Morelos","Rancho Sak-OI Puerto Morelos"
